A	D	E	G	S	EN	EI	FI	FS	WFENI	WI
95.63522589	6.142857143	5.607131824	6409.38	8030.74	495.28	91.61	55.61	45373.7	57.44	6063.01
18.53172241	22.92857143	78.18315424	13185	1255.12	837.42	8.47	8.69	7091.44	37.15	6752.24
17.47538728	8.321428571	1.547314966	12941.14	1498.99	925.7	9.15	10.38	8469.27	18.97	6342.36
17.20552616	31.57142857	78.37848985	13337.25	1102.88	924.62	6.74	7.64	6231.25	19.75	6408.96
22.78771174	30.14285714	45.65887119	12496.27	1943.86	866.18	12.68	13.46	10982.81	25.08	6409.93
86.48706849	11.78571429	16.63946337	7136.21	7303.92	501.47	82.29	50.58	41267.13	72.16	6496.44
67.0028539	19.62	37.08084385	8660.57	5779.55	601.26	54.31	40.02	32654.48	51.43	6367.45
74.88895019	11	51.82870623	9513.07	4927.05	648.36	42.94	34.12	27837.84	54.74	6583.74
97.4490232	5.714285714	3.837556786	6301.03	8139.09	488.35	94.17	56.36	45985.87	59.56	6082.28
29.14156788	30.42857143	50.5811733	12047.32	2392.81	835.25	16.19	16.57	13519.36	27.93	6408.52
69.76305986	19.18	36.46358367	8434.79	6005.34	582.27	58.27	41.59	33930.15	54.76	6393.28
42.17118792	13	100	11958.27	2481.86	820.7	17.09	17.19	14022.5	23.02	6291.39
42.26376536	12.75	100	11935.99	2504.14	818.66	17.28	17.34	14148.37	23.58	6299.97
31.72466433	13.5	100	12384.79	2055.33	852.96	13.61	14.23	11612.63	23.72	6365.55
12.18012019	32.71428571	100	13737.27	702.86	952.43	4.17	4.87	3971.15	17.29	6408.43
22.65810606	22.28571429	51.38234835	12661.44	1778.69	872.58	11.52	12.32	10049.6	25.37	6437.99
98.75457875	5.428571429	3.116274503	6203.76	8236.37	447.3	104.04	57.04	46535.48	64.6	6118.96
69.86131692	19.06	37.62295545	8278.6	6161.52	569.35	61.14	42.67	34812.6	61.26	6498.74
63.52830887	27.54	35.2404956	8906.21	5533.91	617.39	50.64	38.32	31266.61	51.3	6409.39
97.05574981	10.28571429	6.130130259	6426.25	8013.88	483.69	93.61	55.5	45278.41	68.7	6289.98
24.45869513	13.75	100	12885.86	1554.26	865.8	10.14	10.76	8781.59	27.63	6514.24
98.46611722	5.571428571	3.175346603	6221.36	8218.77	483.33	96.08	56.92	46436.03	61.88	6112.5
85.4007659	12	16.84792417	7194.15	7245.98	502.56	81.46	50.18	40939.76	73.65	6538.23
63.83170096	27.18	34.98113962	8388.14	6051.98	581.21	58.83	41.91	34193.69	56.03	6412.38
43.58186499	6.714285714	4.757521227	10663.6	3776.53	772.57	27.62	26.15	21337.39	36.34	6392.17
67.54806437	19.54	35.14670435	8595.25	5844.88	599.93	55.05	40.48	33023.55	51.39	6356.31
62.37384457	28.44	35.2137201	8986.59	5453.54	623.08	49.45	37.77	30812.48	50.56	6408.2
61.92163078	28.62	35.30943261	9030.72	5409.41	626.2	48.81	37.46	30563.17	50.15	6407.53
19.84105823	31	58.21656626	12965.52	1474.6	898.93	9.27	10.21	8331.5	22.03	6408.36
50.70951239	6.357142857	2.242704682	10010.09	4430.04	716.93	34.91	30.68	25029.72	43.87	6448.02
15.71250534	23.35714286	96.56510145	13458.81	981.31	856.76	6.47	6.8	5544.43	35.12	6746.25
28.69255763	21	43.82944946	11927.71	2512.41	826.43	17.18	17.4	14195.12	29.03	6414.99
36.67483055	7.071428571	4.116954355	11324.79	3115.33	830.71	21.19	21.57	17601.62	26.93	6292.2
22.48855414	7.964285714	1.281735243	12494.27	1945.86	882.37	12.46	13.48	10994.09	24.04	6389.2
100	5.142857143	0	5963.34	8476.79	420.58	113.88	58.7	47893.85	75.66	6270.38
